순위,영화명,개봉일,매출액,관객수,스크린수,상영횟수,감독,주연배우,조연배우
1,명량,2014-07-30,"135,758,208,810","17,615,844","1,587","188,724",김한민,"최민식, 류승룡, 조진웅","김명곤, 진구, 이정현, 권율, 노민우, 이승준, 오타니 료헤이, 박보검, 김원해, 이해영, 장준녕, 김길동, 김강일, 강태영, 김민석, 박노식, 최덕문, 조복래, 문영동, 이주실, 주석태, 고경표, 김태훈, 한이진, 신유람, 정원준"
2,극한직업,2019-01-23,"139,655,543,516","16,266,338","2,003","292,816",이병헌,"류승룡, 이하늬, 진선규, 이동휘, 공명","양현민, 장진희, 오정세, 이중옥, 송영규, 신하균, 김의성, 김종수, 허준석"
3,신과함께-죄와 벌,2017-12-20,"115,727,528,087","14,414,658","1,912","214,631",김용화,"하정우, 차태현, 주지훈, 김향기, 마동석","김동욱, 도경수, 오달수 , 임원희 , 장광, 정해균 , 김수안, 정지훈, 예수정, 이준혁"
4,국제시장,2014-12-17,"110,946,545,230","14,264,282","1,044","212,702",윤제균,"황정민, 김윤진, 오달수, 정진영","장영남, 라미란, 김슬기, 정영기, 맹세창, 박재우, 김재철"
5,베테랑,2015-08-05,"105,170,856,250","13,414,484","1,115","199,307",류승완,"황정민, 유아인, 유해진, 오달수","장윤주, 김시후, 오대환, 정웅인, 정만식, 송영창, 진경, 유인영, 박소담, 이동휘, 배성우, 천호진"
6,도둑들,2012-07-25,"93,672,497,700","12,984,701","1,091","155,487",최동훈,"김윤석, 김혜수, 이정재, 전지현, 임달화, 김해숙, 오달수, 김수현, 이심결, 증국상","최덕문, 최진호, 예수정"
7,7번방의 선물,2013-01-23,"91,437,368,170","12,812,144",866,"167,013",이환경,"류승룡, 박신혜, 갈소원, 오달수, 박원상, 김정태, 정만식, 김기천","조덕현, 조재윤, 박길수"
8,암살,2015-07-22,"98,468,733,781","12,706,855","1,519","175,221",최동훈,"전지현, 이정재, 하정우","오달수, 조진웅, 이경영, 최덕문, 김의성, 박병은, 김홍파, 진경, 김인우, 심희섭, 허지원, 허정도, 정인겸"
9,범죄도시 2,2022-05-18,"131,297,560,478","12,693,322","2,521","355,767",이상용,"마동석, 손석구, 최귀화","박지환, 허동원, 송하준, 정재광, 남문철, 박지영, 이주원, 음문석, 김찬형, 이규원, 전진오, 이다일, 김영성, 차우진"
10,"광해, 왕이 된 남자",2012-09-13,"88,913,283,469","12,324,062","1,001","203,464",추창민,"이병헌, 류승룡, 한효주, 장광, 김인권, 심은경, 김명곤","박지아, 이양희, 전국향"
11,신과함께-인과 연,2018-08-01,"102,689,349,539","12,278,010","2,235","180,750",김용화,"하정우, 주지훈, 김향기, 마동석, 김동욱","도경수, 이준혁, 정지훈, 김동욱, 조한철, 장광"
12,택시운전사,2017-08-02,"95,871,589,649","12,189,702","1,906","184,207",장훈,"송강호, 토마스 크레취만, 류준열","유해진, 박혁권, 최귀화, 이정은, 차순배, 이봉련, 류성현, 허정도"
13,부산행,2016-07-20,"93,188,162,548","11,567,815","1,788","151,533",연상호,"공유, 정유미, 마동석, 김수안","최우식, 안소희, 김의성, 예수정, 박명신"
14,변호인,2013-12-18,"82,875,748,788","11,375,223",925,"152,285",양우석,"송강호, 김영애, 오달수, 곽도원, 임시완","송영창, 정원중, 조민기, 이항나, 이성민, 차광수, 한기중, 심희섭, 김동현, 조완기, 차은재"
15,해운대,2009-07-22,"81,028,720,000","11,325,117",764,"154,332",윤제균,"설경구, 하지원, 박중훈, 엄정화","이민기, 강대규, 김원영, 김유빈, 신정원, 성유경, 박재홍, 나승현, 김재경, 장원준, 임동우, 김정곤, 정종원, 이지애, 최재섭, 장명갑, 지대한, 천보근, 강예원"
16,괴물,2006-07-27,"66,717,700,300","10,917,400",647,"113,105",봉준호,"송강호, 변희봉, 박해일, 배두나, 고아성","오달수, 박노식, 고수희, 윤제문, 김뢰하, 이재응, 이왕우"
17,왕의 남자,2005-12-29,"66,019,904,400","10,514,177",313,"111,193",이준익,"감우성, 이준기, 유해진, 정진영","강성연, 이동수, 김주홍, 장항선, 정석용"
18,기생충,2019-05-30,"87,463,906,795","10,313,513","1,948","206,449",봉준호,"송강호, 이선균, 조여정, 최우식, 박소담, 이정은, 장혜진, 박명훈","현승민, 정현준"
