No.,Name,Address
1,제주신화월드R,"제주특별자치도 서귀포시 안덕면 신화역사로304번길 38 B1-29"
2,제주에듀시티,"제주특별자치도 서귀포시 대정읍 에듀시티로 36"
3,제주성산DT,"제주특별자치도 서귀포시 성산읍 일출로 80"
4,제주중문DT,"제주특별자치도 서귀포시 천제연로 95(색달동)"
5,제주송악산,"제주특별자치도 서귀포시 대정읍 형제해안로 322"
6,서귀포DT,"제주특별자치도 서귀포시 일주서로 11 (강정동)"
7,성산일출봉,"제주특별자치도 서귀포시 성산읍 일출로 284-5 1,2층"
8,제주중문,"제주특별자치도 서귀포시 중문관광로110번길 32 (색달동)"
9,서귀포올레,"제주특별자치도 서귀포시 중정로 69 (서귀동)"
10,제주서귀포토평DT,"제주특별자치도 서귀포시 일주동로 8516 (토평동)"
11,제주모슬포DT,"제주특별자치도 서귀포시 대정읍 일주서로 2549"
12,제주서귀포남원DT,"제주특별자치도 서귀포시 남원읍 일주동로 7129"
13,제주도남DT,"제주특별자치도 제주시 연북로 394 (도남동)"
14,제주협재,"제주특별자치도 제주시 한림읍 한림로 337"
15,제주외도DT,"제주특별자치도 제주시 일주서로 7300 (외도일동)"
16,제주삼화DT,"제주특별자치도 제주시 연삼로 884 (도련일동)"
17,제주시청,"제주특별자치도 제주시 중앙로 215 (이도이동)"
18,제주애월DT,"제주특별자치도 제주시 애월읍 애월해안로 376"
19,제주칠성,"제주특별자치도 제주시 관덕로 55 (일도일동)"
20,제주노형,"제주특별자치도 제주시 도령로 27 (노형동)"
21,제주용담DT,"제주특별자치도 제주시 서해안로 380 (용담삼동) 화이트하우스"
22,신제주이마트,"제주특별자치도 제주시 1100로 3348, 신제주이마트 1층 (노형동)"
23,제주세화DT,"제주특별자치도 제주시 구좌읍 일주동로 3121"
24,제주노형로,"제주특별자치도 제주시 노형로 376 (노형동)"
25,제주노형DT,"제주특별자치도 제주시 월랑로 68 (노형동)"
26,제주한라수목원DT,"제주특별자치도 제주시 수목원서길 3-5 (노형동)"
27,제주서해안로DT,"제주특별자치도 제주시 서해안로 624 (용담삼동)"
28,제주일도DT,"제주특별자치도 제주시 동광로 130 (일도이동)"
29,제주공항DT,"제주특별자치도 제주시 월성로 42 (용담이동)"
30,제주금악DT,"제주특별자치도 제주시 한림읍 평화로 1360-2"
31,제주한담해변DT,"제주특별자치도 제주시 애월읍 일주서로 6142"
32,더제주송당파크R,"제주특별자치도 제주시 구좌읍 비자림로 1189"
33,제주평화로DT,"제주특별자치도 제주시 노형로 37 (해안동)"
